Geo Point;Geo Shape;gml_id;objectid;id;c_insee;site_nom;site_adr;site_etat;invest;site_type;i_acces;i_modal;i_tarif;b_type;p_domestic;p_type2;p_type3;p_type4;p_ccs;ch_normale;ch_rapide;ch_acceler;maj_date;x_cc48;y_cc48
48.1061709353, -1.67696106046;"{""type"": ""Point"", ""coordinates"": [-1.676961060464329, 48.10617093528555]}";borne_veh_elec.fre-213502388-35238-bornerechargeelectrique-007;12;fre-213502388-35238-bornerechargeelectrique-007;35000;Parking Charles De Gaulle;10 Rue Yvonne Jean-Haffen, Rennes;en service;Rennes Métropole;parking payant;accès public;badge d'accès;gratuit (provisoire);borne charge normale;1;0;1;0;0;oui;non;non;2012-06-19T22:00:00Z;1351939.6;7222364.8
48.1084823771, -1.66666693945;"{""type"": ""Point"", ""coordinates"": [-1.666666939450225, 48.1084823771324]}";borne_veh_elec.fre-213502388-35238-bornerechargeelectrique-008;13;fre-213502388-35238-bornerechargeelectrique-008;35000;Dupont des Loges;16 Boulevard René Théophile Hyacinthe Laënnec, Rennes;en service;Ville de Rennes;espace privé;accès réservé;personnel autorisé;gratuit;borne charge normale;0;0;2;0;0;oui;non;non;2012-06-19T22:00:00Z;1352720.3;7222574.9
48.123889236, -1.66022671863;"{""type"": ""Point"", ""coordinates"": [-1.660226718632594, 48.123889235988656]}";borne_veh_elec.fre-213502388-35238-bornerechargeelectrique-016;21;fre-213502388-35238-bornerechargeelectrique-016;35000;Rennes Bernanos;13 Place Georges Bernanos, Rennes;en service;Rennes Métropole;espace public;accès public;digicode;gratuit (provisoire);borne charge normale et accélérée;2;1;1;0;0;oui;non;oui;2014-06-09T22:00:00Z;1353302.45892058;7224255.76734537
48.115070463, -1.71391956607;"{""type"": ""Point"", ""coordinates"": [-1.713919566069421, 48.11507046303258]}";borne_veh_elec.fre-213502388-35238-bornerechargeelectrique-018;23;fre-213502388-35238-bornerechargeelectrique-018;35000;Rennes Champeaux;8 Rue Jules Maillard de la Gournerie, Rennes;en service;Rennes Métropole;espace public;accès public;digicode;gratuit (provisoire);borne charge normale et accélérée;2;1;1;0;0;oui;non;oui;2014-06-09T22:00:00Z;1349253.01707574;7223519.93963098
48.1021507504, -1.67307326461;"{""type"": ""Point"", ""coordinates"": [-1.673073264612499, 48.10215075041581]}";borne_veh_elec.fre-213502388-35238-bornerechargeelectrique-001;1;fre-213502388-35238-bornerechargeelectrique-001;35000;Parking Gare Sud;Esplanade Fulgence Bienvenüe, Rennes;en service;Rennes Métropole;parking payant;accès public;badge d'accès;gratuit (provisoire);borne charge normale;1;0;1;0;0;oui;non;non;2012-06-19T22:00:00Z;1352201.5;7221901.1
48.1100806215, -1.68053681524;"{""type"": ""Point"", ""coordinates"": [-1.680536815236036, 48.11008062146698]}";borne_veh_elec.fre-213502388-35238-bornerechargeelectrique-022;6;fre-213502388-35238-bornerechargeelectrique-022;35000;Rennes parking vilaine;Quay Duguay Trouin ( proche kiosque);hors service;Rennes Métropole;espace public;accès public;digicode;gratuit (provisoire);borne charge normale et accélérée;2;1;1;0;0;oui;non;oui;2014-06-09T22:00:00Z;1351700.19225591;7222814.83950139
48.0931522851, -1.67507595048;"{""type"": ""Point"", ""coordinates"": [-1.675075950480661, 48.09315228509689]}";borne_veh_elec.fre-213502388-35238-bornerechargeelectrique-009;14;fre-213502388-35238-bornerechargeelectrique-009;35000;Hôtel d'agglomération;4 Avenue Henri Fréville, Rennes;en service;Rennes Métropole;espace privé;accès réservé;personnel autorisé;gratuit;prise domestique;4;0;0;0;0;oui;non;non;2012-06-19T22:00:00Z;1351992.0;7220911.5
48.1180430454, -1.67080352326;"{""type"": ""Point"", ""coordinates"": [-1.670803523259555, 48.118043045420954]}";borne_veh_elec.fre-213502388-35238-bornerechargeelectrique-017;22;fre-213502388-35238-bornerechargeelectrique-017;35000;Rennes Guehenno;28 Avenue Doyen Roger Houin, Rennes;en service;Rennes Métropole;espace public;accès public;digicode;gratuit (provisoire);borne charge normale et accélérée;2;1;1;0;0;oui;non;oui;2014-06-09T22:00:00Z;1352477.2042454;7223654.5772214
48.1076090903, -1.61526713521;"{""type"": ""Point"", ""coordinates"": [-1.615267135213679, 48.107609090292016]}";"borne_veh_elec.fre-213502388-35238-bornerechargeelectrique-022
fre-213502388-35238-bornerechargeelectrique-023";24;"fre-213502388-35238-bornerechargeelectrique-022
fre-213502388-35238-bornerechargeelectrique-023";35051;Cesson Sévigné Autopole;rue de bray (proche rond-point);en service;Rennes Métropole;espace public;accès public;libre accès;gratuit (provisoire);borne charge rapide;0;1;0;1;1;non;oui;non;;;
48.1811392419, -1.63682700864;"{""type"": ""Point"", ""coordinates"": [-1.636827008640914, 48.18113924194344]}";borne_veh_elec.fre-213502388-35238-bornerechargeelectrique-021;28;fre-213502388-35238-bornerechargeelectrique-021;35024;Betton Place du calvaire;1 Allée du Calvaire, Betton;en service;Rennes Métropole;espace public;accès public;digicode;gratuit (provisoire);borne charge normale et accélérée;2;1;1;0;0;oui;non;oui;2014-06-09T22:00:00Z;1355423.77190932;7230504.59100933
