Geo Point;Geo Shape;gml_id;objectid;circ_apaisee;type_agt_velo;sens;jalonnement;c_insee;annee_mes;etat
48.1275977302, -1.64019663161;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.640154219696553, 48.127583366127894], [-1.64023904351651, 48.12761209432132]]]}";circ_apais_amgt_velo.839;839;zone 30;;;;35238;;
48.0996951649, -1.67685458472;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.677376957466305, 48.099310614720935], [-1.677391718188431, 48.09933839803371], [-1.677427235582061, 48.0995387039009], [-1.677463253998569, 48.09966591206731], [-1.677466560605777, 48.09970830833593], [-1.677391614387803, 48.09972442343419], [-1.67643636429782, 48.099752384305866], [-1.675936322964154, 48.099771977173106]]]}";circ_apais_amgt_velo.859;859;zone de rencontre;;;;35238;;
48.1016348672, -1.70246147889;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.70250456470852, 48.10028580324436], [-1.7025865854427, 48.10048271707919], [-1.702641646557713, 48.1008523921999], [-1.702654154849526, 48.10122380804885], [-1.702573758910018, 48.10151319421749], [-1.702232674755851, 48.1024569642967], [-1.702195640819878, 48.10298775983571]]]}";circ_apais_amgt_velo.866;866;zone 30;;;;35238;;
48.1022163601, -1.70128797052;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.701342492627826, 48.10198501141223], [-1.701241545487568, 48.102393279885035], [-1.701274841289883, 48.1024397663005]]]}";circ_apais_amgt_velo.867;867;zone de rencontre;;;;35238;;
48.0872193567, -1.6619657391;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.662061826309521, 48.087009284239564], [-1.662198979643406, 48.0870060632944], [-1.662192667975557, 48.08734250780397], [-1.661691592589629, 48.0873367924672], [-1.661708829588507, 48.087005131156516]]]}";circ_apais_amgt_velo.869;869;zone de rencontre;;;;35238;;
48.1235123856, -1.68559297037;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.685249452329334, 48.122996412304865], [-1.685407121505033, 48.1232859930155], [-1.685625933072891, 48.12359822262138], [-1.685995491786767, 48.12398459594417]]]}";circ_apais_amgt_velo.871;871;aire piétonne;;;;35238;;
48.1150874986, -1.67901026942;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.679076029970242, 48.115059502552576], [-1.678944508877641, 48.11511549462293]]]}";circ_apais_amgt_velo.872;872;aire piétonne;;;;35238;;
48.127414334, -1.63854940897;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.640067459713438, 48.12755727495023], [-1.639729675280371, 48.127455694429806], [-1.639678347881766, 48.12744019451255], [-1.639610881505043, 48.12742931017458], [-1.639359602036287, 48.12743376926916], [-1.639278499330605, 48.12742091183829], [-1.638780974855335, 48.12727338396166], [-1.638739640857052, 48.127316589091215], [-1.638551931293159, 48.12759077809618], [-1.638486141773615, 48.12762695006361], [-1.638406350806303, 48.12763016779812], [-1.637402135576979, 48.12737529819006], [-1.637681992756052, 48.12693448720888]]]}";circ_apais_amgt_velo.874;874;zone de rencontre;;;;35238;;
48.0831697127, -1.63758342838;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.638026398051308, 48.08316605726808], [-1.637990221092237, 48.08315645690129], [-1.637893243931824, 48.08313273903541], [-1.637831116316961, 48.08312972017627], [-1.637782305351619, 48.08313721617021], [-1.637734484199307, 48.08315572449521], [-1.637642951259972, 48.083192576148356], [-1.637560775565863, 48.083195892329904], [-1.637415729910807, 48.08318793055284], [-1.637191626777148, 48.083172104592], [-1.637134036399329, 48.083174428419085]]]}";circ_apais_amgt_velo.2754;2754;;piste cyclable;double-sens;oui;35055;2005;P
48.0836629363, -1.65519357274;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.654945324443388, 48.083662134515286], [-1.65544182102889, 48.08366373814006]]]}";circ_apais_amgt_velo.787;787;zone de rencontre;;;;35238;;
48.0850597703, -1.64759198697;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.647603096129601, 48.08510598715403], [-1.647584168593174, 48.08502574747243], [-1.647578397145152, 48.085014465349964]]]}";circ_apais_amgt_velo.797;797;zone de rencontre;;;;35238;;
