Geo Point;Geo Shape;ID;Zone tarifaire;Tarif 15';Tarif 30';Tarif 1h;Tarif 1h30;Tarif 2h;Tarif 3h;Tarif 4h
48.1034163536, -1.69247214127;"{""type"": ""LineString"", ""coordinates"": [[-1.692880033689566, 48.103441814094765], [-1.692064248850887, 48.10339089304518]]}";4926;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.104873507, -1.68432204374;"{""type"": ""LineString"", ""coordinates"": [[-1.684331135092075, 48.10520195386892], [-1.684312952391674, 48.10454506008325]]}";122;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.106038703, -1.68473122018;"{""type"": ""LineString"", ""coordinates"": [[-1.684735962386903, 48.10631012422688], [-1.684726477977936, 48.10576728168806]]}";121;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1066429739, -1.68583863323;"{""type"": ""LineString"", ""coordinates"": [[-1.686333167580925, 48.10668414423152], [-1.686085656517163, 48.10665689918851], [-1.685592816819051, 48.10663092160802], [-1.685344749592144, 48.106596553895216]]}";120;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1094656013, -1.66219917805;"{""type"": ""LineString"", ""coordinates"": [[-1.662349598417671, 48.10988717301368], [-1.66204875768055, 48.10904402953656]]}";6172;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1060169446, -1.6665004418;"{""type"": ""LineString"", ""coordinates"": [[-1.66672431914205, 48.10608434306033], [-1.666276564447962, 48.10594954621252]]}";163;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1076985005, -1.67265101947;"{""type"": ""LineString"", ""coordinates"": [[-1.67275754325393, 48.10773477905114], [-1.672761767834818, 48.10773621937325], [-1.672536201418875, 48.107659395549646]]}";167;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1093935102, -1.66476355776;"{""type"": ""LineString"", ""coordinates"": [[-1.664722508390831, 48.109782285136276], [-1.664804607122696, 48.10900473521768]]}";6170;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1093465956, -1.67506365902;"{""type"": ""LineString"", ""coordinates"": [[-1.675922092734058, 48.109337780294744], [-1.67470655694177, 48.10935078165251], [-1.674205210740075, 48.109353633733235]]}";169;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1017573171, -1.66988879941;"{""type"": ""LineString"", ""coordinates"": [[-1.669940922215001, 48.10180621935301], [-1.669836676613394, 48.101708414924914]]}";307;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1094173904, -1.67239900604;"{""type"": ""LineString"", ""coordinates"": [[-1.672676561001046, 48.1094186199777], [-1.672121451079783, 48.109416160890696]]}";182;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.11346528, -1.6854166131;"{""type"": ""LineString"", ""coordinates"": [[-1.685368419419241, 48.11360131945061], [-1.685464806790132, 48.11332924050296]]}";200;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1152133896, -1.68707934713;"{""type"": ""LineString"", ""coordinates"": [[-1.687021497821596, 48.11530157553886], [-1.687137196430414, 48.11512520373911]]}";6577;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.114845278, -1.68730756536;"{""type"": ""LineString"", ""coordinates"": [[-1.687211531634257, 48.115002967954545], [-1.687403599078978, 48.11468758813175]]}";6578;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1080389588, -1.67456691371;"{""type"": ""LineString"", ""coordinates"": [[-1.675111036055031, 48.108177574073004], [-1.6740227913581, 48.107900343537764]]}";178;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1094159125, -1.6717105904;"{""type"": ""LineString"", ""coordinates"": [[-1.671908035469459, 48.109416307810775], [-1.671513145329381, 48.10941551716566]]}";183;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1186562628, -1.6848390705;"{""type"": ""LineString"", ""coordinates"": [[-1.684965885931541, 48.11856288456479], [-1.68471225506679, 48.1187496410247]]}";6558;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1064698234, -1.6836214563;"{""type"": ""LineString"", ""coordinates"": [[-1.684162134612559, 48.10646803968381], [-1.683885866616795, 48.10649650218113], [-1.683660728013816, 48.1064827830624], [-1.683209374205498, 48.106441083639005], [-1.683080568340076, 48.10643120123339]]}";113;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1083146172, -1.67199473726;"{""type"": ""LineString"", ""coordinates"": [[-1.671891824694608, 48.10752296853282], [-1.671756292655518, 48.107984994338345], [-1.6716816922018, 48.108266265423225], [-1.671639878341492, 48.10841777913453], [-1.671804957171378, 48.108483608701704], [-1.672036619473395, 48.10858288792476], [-1.672221363448687, 48.10862659669591], [-1.672599313822429, 48.108685146960894], [-1.67274039830027, 48.10871605890893]]}";156;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1034451144, -1.67823091267;"{""type"": ""LineString"", ""coordinates"": [[-1.678852138358507, 48.10275968750154], [-1.678953288712162, 48.10310641948044], [-1.678954377098982, 48.10312067076944], [-1.678840579610997, 48.10316745370229], [-1.678449530022931, 48.103216582784256], [-1.678332468100131, 48.103220591473786], [-1.678207479925935, 48.103260598904946], [-1.678129956166416, 48.103363312575866], [-1.678031140844147, 48.10346674748983], [-1.677972719201, 48.10354022053955], [-1.677909958351893, 48.10355665808793], [-1.677743488292428, 48.103612392527154], [-1.677671170254901, 48.103643455807294], [-1.677650110583576, 48.10378711339124], [-1.677703556914044, 48.10392821885348], [-1.677837182486293, 48.104280979334774]]}";133;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1162142316, -1.68530683853;"{""type"": ""LineString"", ""coordinates"": [[-1.686266337629053, 48.11640997197345], [-1.684347339438103, 48.116018491309084]]}";6571;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1024294485, -1.68149369009;"{""type"": ""LineString"", ""coordinates"": [[-1.681194876956132, 48.10255532816115], [-1.681710343488972, 48.10248703616079], [-1.681751797115991, 48.10241668576432], [-1.681706098876604, 48.10231479024708], [-1.681188226857642, 48.10238165382399]]}";6586;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1147763284, -1.67410413957;"{""type"": ""LineString"", ""coordinates"": [[-1.674313611225786, 48.11479417692688], [-1.673894667910986, 48.1147584799675]]}";230;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1098219499, -1.66767037378;"{""type"": ""LineString"", ""coordinates"": [[-1.668470556090783, 48.109819637541825], [-1.666870191464026, 48.109824262183785]]}";241;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1093675531, -1.66575844544;"{""type"": ""LineString"", ""coordinates"": [[-1.665735095541141, 48.109652179804655], [-1.665781795347768, 48.10908292646247]]}";243;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1098303503, -1.67010108205;"{""type"": ""LineString"", ""coordinates"": [[-1.670407379012162, 48.10982896458485], [-1.66979478508709, 48.10983173592421]]}";249;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1085465488, -1.69321154076;"{""type"": ""LineString"", ""coordinates"": [[-1.693052939319792, 48.10858125069135], [-1.693370142202311, 48.1085118468477]]}";5534;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1059456718, -1.69313900448;"{""type"": ""LineString"", ""coordinates"": [[-1.693120579321706, 48.10612159698095], [-1.693157429629618, 48.10576974666899]]}";4915;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1169642762, -1.68085774645;"{""type"": ""LineString"", ""coordinates"": [[-1.680853063210032, 48.11705049069487], [-1.68086242969275, 48.11687806163741]]}";273;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1092729941, -1.68995470509;"{""type"": ""LineString"", ""coordinates"": [[-1.689259173689791, 48.10942877259816], [-1.690650236490387, 48.10911721553261]]}";5531;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1151169806, -1.67684502138;"{""type"": ""LineString"", ""coordinates"": [[-1.676844721922615, 48.11519121828163], [-1.676845320832198, 48.115042743011735]]}";277;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1112407929, -1.67698736123;"{""type"": ""LineString"", ""coordinates"": [[-1.677071882578902, 48.11122582563604], [-1.676902839888587, 48.11125576010189]]}";281;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1071589261, -1.67113983636;"{""type"": ""LineString"", ""coordinates"": [[-1.671509966128005, 48.10728259212526], [-1.670876049609348, 48.10706875624744], [-1.670766300011434, 48.1070483507493]]}";283;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1172263716, -1.68288711132;"{""type"": ""LineString"", ""coordinates"": [[-1.683045305920345, 48.11724465639686], [-1.682728916718275, 48.117208086794115]]}";353;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1089661818, -1.69320096885;"{""type"": ""LineString"", ""coordinates"": [[-1.693323322014193, 48.108938153435226], [-1.693078615685838, 48.10899421016859]]}";646;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1124941864, -1.68577244;"{""type"": ""LineString"", ""coordinates"": [[-1.685105938541971, 48.11257462784925], [-1.686438941464933, 48.112413745027155]]}";355;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.117519462, -1.67551473966;"{""type"": ""LineString"", ""coordinates"": [[-1.675559235390444, 48.11710813372813], [-1.67547024392838, 48.117930790197185]]}";363;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1171584801, -1.68180457451;"{""type"": ""LineString"", ""coordinates"": [[-1.682210730295665, 48.11717843100105], [-1.681398418720255, 48.11713852920484]]}";354;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1155578256, -1.68685523918;"{""type"": ""LineString"", ""coordinates"": [[-1.686958045840367, 48.11539628379002], [-1.686752432529407, 48.115719367475904]]}";6579;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1101074762, -1.66994534129;"{""type"": ""LineString"", ""coordinates"": [[-1.670170634192685, 48.110107113068615], [-1.669954264194292, 48.11010485415721], [-1.669720107859611, 48.11011285502404]]}";189;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1147121776, -1.67409924156;"{""type"": ""LineString"", ""coordinates"": [[-1.674287424184912, 48.11473075894719], [-1.673911058943922, 48.114693596189646]]}";231;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1100285573, -1.66848047227;"{""type"": ""LineString"", ""coordinates"": [[-1.6691787603093, 48.11002814783937], [-1.667782184233067, 48.1100289666846]]}";236;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1057336495, -1.6827428232;"{""type"": ""LineString"", ""coordinates"": [[-1.683274692720997, 48.105662234867395], [-1.682210953670074, 48.10580506413533]]}";84;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1131789057, -1.67784261162;"{""type"": ""LineString"", ""coordinates"": [[-1.678232146479845, 48.11317644277051], [-1.677453076752351, 48.11318136860567]]}";245;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1108858177, -1.68148141092;"{""type"": ""LineString"", ""coordinates"": [[-1.681477781192121, 48.11083829851119], [-1.681485040648604, 48.11093333691781]]}";38;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1068106353, -1.68051724369;"{""type"": ""LineString"", ""coordinates"": [[-1.680651205230737, 48.106515406052885], [-1.680383282139658, 48.107105864630014]]}";83;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1194307976, -1.67078578892;"{""type"": ""LineString"", ""coordinates"": [[-1.670697326935533, 48.119171188096544], [-1.670874250896837, 48.119690407140986]]}";6183;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1120845051, -1.67820063172;"{""type"": ""LineString"", ""coordinates"": [[-1.678200318635345, 48.11189393246555], [-1.678200944799209, 48.11227507782766]]}";56;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1128132994, -1.68488008813;"{""type"": ""LineString"", ""coordinates"": [[-1.684965776773568, 48.11291041586551], [-1.684794399490565, 48.112716182860254]]}";11;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1077551943, -1.68117499162;"{""type"": ""LineString"", ""coordinates"": [[-1.681909750708079, 48.10797430212223], [-1.681341784370588, 48.1078031901387], [-1.680963392159449, 48.10769227253694], [-1.680439455857257, 48.1075386999305]]}";78;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1089903791, -1.66232656217;"{""type"": ""LineString"", ""coordinates"": [[-1.662562967770745, 48.10897982914278], [-1.662090156569811, 48.10900092899965]]}";6174;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1075902842, -1.68115554219;"{""type"": ""LineString"", ""coordinates"": [[-1.681810392253542, 48.10778992276411], [-1.681254844770818, 48.107618376819445], [-1.680499641172326, 48.10739411570499]]}";89;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.108243447, -1.68281161516;"{""type"": ""LineString"", ""coordinates"": [[-1.683437766142082, 48.10841981971334], [-1.682928727961012, 48.10827528262104], [-1.682551041667862, 48.108173880034705], [-1.682186830531368, 48.10806247970153]]}";77;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1075709789, -1.68217418341;"{""type"": ""LineString"", ""coordinates"": [[-1.682142697516312, 48.107624469631666], [-1.682205669296103, 48.1075174881926]]}";81;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1188606421, -1.68216231828;"{""type"": ""LineString"", ""coordinates"": [[-1.682471639301887, 48.1186597037669], [-1.68185299726035, 48.11906158043928]]}";6555;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1032856977, -1.68274756256;"{""type"": ""LineString"", ""coordinates"": [[-1.682918746152453, 48.10305629906932], [-1.682763173200005, 48.10325459491063], [-1.682648534662993, 48.10343004870156], [-1.68258057518374, 48.103518139993504]]}";126;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1065692757, -1.66832448548;"{""type"": ""LineString"", ""coordinates"": [[-1.668689980429223, 48.10667471426951], [-1.667958990535052, 48.106463837190944]]}";165;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1071125854, -1.6745923103;"{""type"": ""LineString"", ""coordinates"": [[-1.674670571130814, 48.107299294206044], [-1.67451404946858, 48.106925876533026]]}";147;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1093999112, -1.65752242448;"{""type"": ""LineString"", ""coordinates"": [[-1.65774676114356, 48.10936126139957], [-1.657298087816022, 48.10943856104535]]}";6590;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1058000261, -1.67284897247;"{""type"": ""LineString"", ""coordinates"": [[-1.673114153244242, 48.106759349513716], [-1.672583791688017, 48.10484070274385]]}";143;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1052914456, -1.67223368565;"{""type"": ""LineString"", ""coordinates"": [[-1.672453906560671, 48.10481655704557], [-1.67239982102507, 48.1049470524863], [-1.672235959064508, 48.105317138476686], [-1.67211226495433, 48.1055143377076], [-1.672003017014708, 48.105761058300104]]}";144;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1190674019, -1.67229994479;"{""type"": ""LineString"", ""coordinates"": [[-1.672389472390051, 48.118437998973185], [-1.672210417192015, 48.11969680490615]]}";6185;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1068793563, -1.67846635013;"{""type"": ""LineString"", ""coordinates"": [[-1.678504927478949, 48.10645933846676], [-1.678470996079183, 48.10685357213105], [-1.678442801140899, 48.10718329406045], [-1.678397742578875, 48.10729203660999]]}";106;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1092435142, -1.6589045611;"{""type"": ""LineString"", ""coordinates"": [[-1.659302421248109, 48.10921812701006], [-1.658701705992667, 48.10925162325517], [-1.658509098441642, 48.10928841794358]]}";6587;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1057072461, -1.67120506058;"{""type"": ""LineString"", ""coordinates"": [[-1.671751581836733, 48.10456184753871], [-1.671480425142849, 48.10506424618174], [-1.671223153471358, 48.105609046438495], [-1.671034401208873, 48.10607289054757], [-1.67086531041923, 48.10651462507298], [-1.670711523038926, 48.10687722362848]]}";149;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1093877239, -1.6806908918;"{""type"": ""LineString"", ""coordinates"": [[-1.681067670089436, 48.1093809352406], [-1.680727076677908, 48.1093926045069], [-1.680385032144732, 48.10938526144071], [-1.680314069901574, 48.109387692339105]]}";67;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1080277295, -1.68264481393;"{""type"": ""LineString"", ""coordinates"": [[-1.682878407492004, 48.10810548382863], [-1.682411220374659, 48.107949975139306]]}";80;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1072523945, -1.68193939145;"{""type"": ""LineString"", ""coordinates"": [[-1.682060295388293, 48.107361121459235], [-1.681874658709531, 48.10718998191412], [-1.681810349717825, 48.10715503562622]]}";88;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.109118485, -1.66079595953;"{""type"": ""LineString"", ""coordinates"": [[-1.661887199536622, 48.1090209288973], [-1.660352313779844, 48.109162235812654], [-1.659703666028048, 48.10920234766019]]}";6177;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1088913879, -1.66340582071;"{""type"": ""LineString"", ""coordinates"": [[-1.664584412005615, 48.108855018031], [-1.662227229409951, 48.108927757761116]]}";6175;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1174984557, -1.68420807515;"{""type"": ""LineString"", ""coordinates"": [[-1.685022121772792, 48.11769564830814], [-1.684568580085158, 48.117580176224536], [-1.6841700852036, 48.11748663971576], [-1.683391737779747, 48.11731082746389]]}";6;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1119432275, -1.68566001434;"{""type"": ""LineString"", ""coordinates"": [[-1.685678956307057, 48.111818703017875], [-1.685641072366224, 48.11206775189949]]}";48;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1065406922, -1.68356936917;"{""type"": ""LineString"", ""coordinates"": [[-1.684202687503213, 48.10659283782199], [-1.683826919270699, 48.106562847001534], [-1.683451137173466, 48.10653284562492], [-1.683149866052064, 48.106500298156995], [-1.682935917299824, 48.10649333496415]]}";114;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1068896821, -1.67856445506;"{""type"": ""LineString"", ""coordinates"": [[-1.678624185082667, 48.10648384160809], [-1.678504725039306, 48.107295522649046]]}";105;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1041924019, -1.69163211304;"{""type"": ""LineString"", ""coordinates"": [[-1.691594501796044, 48.10444092167441], [-1.691669724275276, 48.1039438820822]]}";4923;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1073819504, -1.69164437944;"{""type"": ""LineString"", ""coordinates"": [[-1.69187955776896, 48.107319553149836], [-1.691728272676195, 48.10735481387107], [-1.691609615019272, 48.10738874207483], [-1.691411935579267, 48.10745402742106]]}";4554;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1071557701, -1.68865842168;"{""type"": ""LineString"", ""coordinates"": [[-1.688371694113077, 48.10711711066422], [-1.688945149254839, 48.10719442962757]]}";4576;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1058790734, -1.69089463144;"{""type"": ""LineString"", ""coordinates"": [[-1.690837009930706, 48.106028286439674], [-1.690952252948512, 48.1057298603946]]}";4908;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1064730587, -1.69311901851;"{""type"": ""LineString"", ""coordinates"": [[-1.693102012941924, 48.10663881705637], [-1.693136024084642, 48.10630730038178]]}";4911;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.106637992, -1.69065375689;"{""type"": ""LineString"", ""coordinates"": [[-1.690924294797189, 48.10665254517441], [-1.690383218974011, 48.10662343882814]]}";4900;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1021227768, -1.69173821498;"{""type"": ""LineString"", ""coordinates"": [[-1.69169754222924, 48.10222972012387], [-1.691778887734248, 48.102015833527986]]}";4582;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1079345686, -1.689953416;"{""type"": ""LineString"", ""coordinates"": [[-1.690084551716822, 48.107892218128946], [-1.68982228028121, 48.10797691903832]]}";4556;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1092151076, -1.68120183742;"{""type"": ""LineString"", ""coordinates"": [[-1.681306607286359, 48.109210081858286], [-1.681097067552585, 48.10922013325228]]}";333;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1033935707, -1.68998129729;"{""type"": ""LineString"", ""coordinates"": [[-1.690084570157424, 48.10339994579642], [-1.689878024427134, 48.103387195551804]]}";4927;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1078903678, -1.67525452768;"{""type"": ""LineString"", ""coordinates"": [[-1.67516261224013, 48.10815437102574], [-1.675346443115819, 48.10762636460209]]}";180;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1093491279, -1.67240981559;"{""type"": ""LineString"", ""coordinates"": [[-1.672713703283824, 48.10934588713049], [-1.672105927896862, 48.109352368707476]]}";185;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1051884406, -1.67009664698;"{""type"": ""LineString"", ""coordinates"": [[-1.671266483916684, 48.1050572612979], [-1.67107707990793, 48.10509232325096], [-1.668924710825689, 48.10530480098257]]}";153;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1074786403, -1.68369044872;"{""type"": ""LineString"", ""coordinates"": [[-1.684225568242541, 48.106892223858175], [-1.683742732444218, 48.10741620203651], [-1.683339585697654, 48.10786598253332], [-1.683163264782651, 48.10807213823811]]}";115;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.109889627, -1.65603887424;"{""type"": ""LineString"", ""coordinates"": [[-1.656285421386713, 48.10988881597694], [-1.655792327097264, 48.10989043798303]]}";5850;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1030243621, -1.67792468562;"{""type"": ""LineString"", ""coordinates"": [[-1.678484312873499, 48.10269367187603], [-1.678106320874547, 48.10291386682709], [-1.677729413989457, 48.10314832983714], [-1.677360430323002, 48.103346775688784]]}";135;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1059250898, -1.67810024346;"{""type"": ""LineString"", ""coordinates"": [[-1.678249093106768, 48.10590349475098], [-1.678111819978198, 48.105922493899236], [-1.677985193634878, 48.10594111824382], [-1.677954356698646, 48.10595647209318]]}";112;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1064161045, -1.67320779266;"{""type"": ""LineString"", ""coordinates"": [[-1.673352859672457, 48.106951295114584], [-1.673232944741514, 48.10649800292893], [-1.673057963842474, 48.10588222025819]]}";142;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1068867442, -1.68636467127;"{""type"": ""LineString"", ""coordinates"": [[-1.686342433361728, 48.106805315237835], [-1.686386909168839, 48.10696817319531]]}";137;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1093901727, -1.66465507283;"{""type"": ""LineString"", ""coordinates"": [[-1.664612681654247, 48.10978158488266], [-1.664697464010005, 48.10899876042306]]}";6171;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1069397231, -1.68991956785;"{""type"": ""LineString"", ""coordinates"": [[-1.689982021295101, 48.10678096761544], [-1.689857114395086, 48.10709847859069]]}";4881;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1064320261, -1.69205776951;"{""type"": ""LineString"", ""coordinates"": [[-1.692080778341485, 48.10624827210095], [-1.692034760670099, 48.10661578006298]]}";4569;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1056314768, -1.69040887036;"{""type"": ""LineString"", ""coordinates"": [[-1.690470443645752, 48.10547247074126], [-1.690347297071698, 48.10579048295698]]}";4878;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1040851821, -1.69383121071;"{""type"": ""LineString"", ""coordinates"": [[-1.693883744410178, 48.10395264896754], [-1.693778677009656, 48.10421771520383]]}";4918;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1037601612, -1.69239343603;"{""type"": ""LineString"", ""coordinates"": [[-1.692413975408071, 48.10360406840859], [-1.692372896657766, 48.103916254056536]]}";4560;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1064917086, -1.68916295636;"{""type"": ""LineString"", ""coordinates"": [[-1.689166924635279, 48.106394116154064], [-1.689158988077166, 48.106589300982165]]}";4891;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1061012246, -1.69051661209;"{""type"": ""LineString"", ""coordinates"": [[-1.690714345489741, 48.10611190002839], [-1.690318878691287, 48.106090549187094]]}";4906;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1084305618, -1.66839943919;"{""type"": ""LineString"", ""coordinates"": [[-1.668284317721185, 48.108395183661095], [-1.668514560665111, 48.108465940011]]}";4500;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1087716024, -1.66936411687;"{""type"": ""LineString"", ""coordinates"": [[-1.669275433181242, 48.10874516459551], [-1.669452800566398, 48.10879804022161]]}";4505;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1088408714, -1.67279127876;"{""type"": ""LineString"", ""coordinates"": [[-1.672791579701495, 48.10891333550298], [-1.672790977811587, 48.108768407292715]]}";4530;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1071167812, -1.6713260162;"{""type"": ""LineString"", ""coordinates"": [[-1.671668854331624, 48.107237913633625], [-1.670983178072117, 48.10699564870297]]}";284;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1066084527, -1.66894271935;"{""type"": ""LineString"", ""coordinates"": [[-1.66923145340106, 48.10666601330558], [-1.66887949685287, 48.10660254866747], [-1.668657926589531, 48.106534639058864]]}";287;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1097794345, -1.68768723678;"{""type"": ""LineString"", ""coordinates"": [[-1.686281639055405, 48.11009899404718], [-1.68909283451052, 48.109459874955284]]}";5530;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1150371161, -1.67700199034;"{""type"": ""LineString"", ""coordinates"": [[-1.677003521613997, 48.11493893591191], [-1.677000459061255, 48.11513529622795]]}";279;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1078869105, -1.69334083037;"{""type"": ""LineString"", ""coordinates"": [[-1.693474291364788, 48.10789463494754], [-1.693207369378081, 48.10787918597945]]}";1937;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1069079004, -1.67384661547;"{""type"": ""LineString"", ""coordinates"": [[-1.674235746375742, 48.10685754917627], [-1.673457484559214, 48.10695825164259]]}";254;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1075718011, -1.67267708535;"{""type"": ""LineString"", ""coordinates"": [[-1.673070535696665, 48.10770629375689], [-1.672283634995424, 48.1074373084096]]}";288;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.11036768, -1.6671305014;"{""type"": ""LineString"", ""coordinates"": [[-1.667137677643024, 48.11032459838439], [-1.667123325160085, 48.110410761623925]]}";3229;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
