Geo Point;Geo Shape;ID;Zone tarifaire;Tarif 15';Tarif 30';Tarif 1h;Tarif 1h30;Tarif 2h;Tarif 3h;Tarif 4h
48.1067881325, -1.6796251828;"{""type"": ""LineString"", ""coordinates"": [[-1.680140445671708, 48.10621749951772], [-1.680030690593516, 48.106457106097814], [-1.679983457625637, 48.10653733687157], [-1.679609798387022, 48.1068145704967], [-1.679297823803074, 48.10706110293844], [-1.679016138900986, 48.107285148927204]]}";104;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1126807844, -1.68360353144;"{""type"": ""LineString"", ""coordinates"": [[-1.683705221589656, 48.11280117725028], [-1.683501841293449, 48.11256039164116]]}";30;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1063597813, -1.67817721206;"{""type"": ""LineString"", ""coordinates"": [[-1.677923685048609, 48.106393479363526], [-1.678430739077319, 48.10632608316915]]}";108;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1085647368, -1.68108515484;"{""type"": ""LineString"", ""coordinates"": [[-1.681898282460401, 48.10855509225111], [-1.681661349003364, 48.10856835348544], [-1.681269325508124, 48.10856122185438], [-1.680978013227757, 48.1085660621058], [-1.680678638796437, 48.10856603692305], [-1.680356307253468, 48.108566797714225], [-1.68027170707751, 48.10856455484887]]}";91;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1154170479, -1.67684796951;"{""type"": ""LineString"", ""coordinates"": [[-1.676857033835477, 48.11553584838633], [-1.67683890518843, 48.11529824734837]]}";16;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1093932272, -1.67661278902;"{""type"": ""LineString"", ""coordinates"": [[-1.676421251827759, 48.10939469412038], [-1.676804326217942, 48.109391760349276]]}";207;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1106188318, -1.68210247605;"{""type"": ""LineString"", ""coordinates"": [[-1.681611239636456, 48.11070056752181], [-1.681888288689317, 48.110624121616276], [-1.682058589263422, 48.11061828449501], [-1.682136234696636, 48.1106031807069], [-1.682600867314291, 48.11058172724127]]}";37;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1122507639, -1.68558412307;"{""type"": ""LineString"", ""coordinates"": [[-1.685608144751164, 48.11219276514949], [-1.685560101397098, 48.11230876270253]]}";51;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1128997282, -1.68013403523;"{""type"": ""LineString"", ""coordinates"": [[-1.680135686285136, 48.112828203872795], [-1.680132384174389, 48.112971252528666]]}";23;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1079075669, -1.67537855465;"{""type"": ""LineString"", ""coordinates"": [[-1.675294137443878, 48.10819989650386], [-1.675462971865849, 48.107615237338614]]}";179;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1144536347, -1.68490905977;"{""type"": ""LineString"", ""coordinates"": [[-1.684824503652014, 48.114591541082554], [-1.684918691601443, 48.114441350408654], [-1.684990210516836, 48.11431370824382]]}";198;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1170801117, -1.68466382527;"{""type"": ""LineString"", ""coordinates"": [[-1.685632018387309, 48.117351795346465], [-1.683695632155419, 48.11680842807216]]}";6563;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1125139568, -1.67328065436;"{""type"": ""LineString"", ""coordinates"": [[-1.673430332889234, 48.11258745065847], [-1.673130975827003, 48.11244046293004]]}";224;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1165771775, -1.68513509675;"{""type"": ""LineString"", ""coordinates"": [[-1.686014741427828, 48.11682266324107], [-1.684255452073024, 48.11633169174275]]}";6569;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1099511187, -1.66906851908;"{""type"": ""LineString"", ""coordinates"": [[-1.669261807407378, 48.10995348820175], [-1.668875230742846, 48.109948749164076]]}";237;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1068532985, -1.66970601188;"{""type"": ""LineString"", ""coordinates"": [[-1.670301318618725, 48.1069555655964], [-1.669631136809758, 48.1068426708374], [-1.669111583668854, 48.1067460729252]]}";166;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1101641713, -1.66848311961;"{""type"": ""LineString"", ""coordinates"": [[-1.66919449746461, 48.110156084970725], [-1.667771741748013, 48.110172257605534]]}";239;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1099589617, -1.6682623968;"{""type"": ""LineString"", ""coordinates"": [[-1.668726212152706, 48.10995383962235], [-1.667798581445873, 48.109964083713166]]}";238;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1113202285, -1.67065348572;"{""type"": ""LineString"", ""coordinates"": [[-1.671088357126275, 48.11136361347168], [-1.670218614303938, 48.11127684362253]]}";654;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1195470796, -1.6812855736;"{""type"": ""LineString"", ""coordinates"": [[-1.681086288017356, 48.1197426199349], [-1.681197400228245, 48.11963682789678], [-1.681344778314725, 48.11948544909431], [-1.681480635260491, 48.1193566325501], [-1.681487232971414, 48.119356406316214]]}";255;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1161962071, -1.6808915182;"{""type"": ""LineString"", ""coordinates"": [[-1.680884072282932, 48.11651198276087], [-1.680898964119075, 48.115880431523195]]}";274;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1039604074, -1.68683886252;"{""type"": ""LineString"", ""coordinates"": [[-1.688279850723808, 48.103939379103686], [-1.685397874319319, 48.103981435645565]]}";259;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1152664679, -1.67990574424;"{""type"": ""LineString"", ""coordinates"": [[-1.679900411449645, 48.11519662813226], [-1.679911077034431, 48.115336307676046]]}";271;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.105214869, -1.6728949314;"{""type"": ""LineString"", ""coordinates"": [[-1.673016636132771, 48.105630952856515], [-1.672773226674803, 48.10479878521819]]}";5537;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1116771357, -1.68119162188;"{""type"": ""LineString"", ""coordinates"": [[-1.68119215625501, 48.111731045675455], [-1.68119108751265, 48.11162322577014]]}";278;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1123932827, -1.69315684092;"{""type"": ""LineString"", ""coordinates"": [[-1.693196353500077, 48.112486088830444], [-1.69311732834652, 48.11230047657662]]}";2570;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1106761506, -1.68471003588;"{""type"": ""LineString"", ""coordinates"": [[-1.68469581452603, 48.11095148059066], [-1.684704930088725, 48.11081921636833], [-1.684717987865148, 48.110612778638654], [-1.684711380432749, 48.110400585879695]]}";247;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1107024043, -1.66796416366;"{""type"": ""LineString"", ""coordinates"": [[-1.668110621801858, 48.110701593204816], [-1.667817705525165, 48.11070321548141]]}";3211;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1106293976, -1.6693266038;"{""type"": ""LineString"", ""coordinates"": [[-1.669393968301671, 48.110630085153154], [-1.669259239294746, 48.1106287101375]]}";3212;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1107847794, -1.66776204584;"{""type"": ""LineString"", ""coordinates"": [[-1.667752426557512, 48.11082910096879], [-1.667771665120505, 48.1107404577618]]}";3218;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1108634331, -1.66765159811;"{""type"": ""LineString"", ""coordinates"": [[-1.6676233065078, 48.110983823415076], [-1.667679889710064, 48.11074304269301]]}";3219;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1112108587, -1.66756803373;"{""type"": ""LineString"", ""coordinates"": [[-1.66757438657546, 48.11117750957543], [-1.66756168089285, 48.11124420784608]]}";3221;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1106329204, -1.66731466882;"{""type"": ""LineString"", ""coordinates"": [[-1.667472367352473, 48.11063393620071], [-1.667156970293785, 48.11063190457637]]}";3222;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1110689041, -1.66689067623;"{""type"": ""LineString"", ""coordinates"": [[-1.666895795364015, 48.11104074022717], [-1.666885557092781, 48.11109706788264]]}";3227;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1103841995, -1.66704680459;"{""type"": ""LineString"", ""coordinates"": [[-1.667056192604872, 48.11032790590295], [-1.667037416569008, 48.11044049316001]]}";3230;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1107437211, -1.66435272449;"{""type"": ""LineString"", ""coordinates"": [[-1.664336541986109, 48.110651398913504], [-1.664368907000181, 48.110836043313384]]}";3241;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1112484332, -1.66435850426;"{""type"": ""LineString"", ""coordinates"": [[-1.664332093045003, 48.11109024853808], [-1.664384915481697, 48.11140661784155]]}";3245;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1117287204, -1.66342651165;"{""type"": ""LineString"", ""coordinates"": [[-1.66343572983972, 48.11179128586842], [-1.663417293464152, 48.11166615491111]]}";3254;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1108322378, -1.66318334675;"{""type"": ""LineString"", ""coordinates"": [[-1.663251107515988, 48.11127713841718], [-1.663115585985337, 48.11038733709959]]}";3257;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1106100223, -1.66228435175;"{""type"": ""LineString"", ""coordinates"": [[-1.662285596392039, 48.110639534427996], [-1.662283107101646, 48.110580510264896]]}";3260;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.112277074, -1.66268142613;"{""type"": ""LineString"", ""coordinates"": [[-1.662657524626277, 48.11223322298032], [-1.662705327627419, 48.11232092506802]]}";3268;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1105866598, -1.66030841485;"{""type"": ""LineString"", ""coordinates"": [[-1.660459479599606, 48.11073952809124], [-1.660157350097064, 48.11043379153528]]}";3853;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1085211433, -1.66852895583;"{""type"": ""LineString"", ""coordinates"": [[-1.668471846316735, 48.10850372163716], [-1.668586065337561, 48.108538565059796]]}";4501;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1086479285, -1.66895052106;"{""type"": ""LineString"", ""coordinates"": [[-1.668827531325324, 48.10861058164972], [-1.669073510804185, 48.10868527536477]]}";4504;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1219427809, -1.68688067345;"{""type"": ""LineString"", ""coordinates"": [[-1.68641201843178, 48.1217186356459], [-1.687166424385346, 48.12202052196689], [-1.687132130441319, 48.122295043962254]]}";6720;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1203261798, -1.68617422031;"{""type"": ""LineString"", ""coordinates"": [[-1.687073425070078, 48.12048837295997], [-1.685275015552772, 48.12016398654989]]}";6728;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.120361196, -1.68675422458;"{""type"": ""LineString"", ""coordinates"": [[-1.687140611580162, 48.12042841609975], [-1.686367837573569, 48.120293975890114]]}";6729;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.118648318, -1.68849808953;"{""type"": ""LineString"", ""coordinates"": [[-1.688636079672874, 48.11868102852436], [-1.688360099378239, 48.118615607396144]]}";6738;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1191252479, -1.68590414118;"{""type"": ""LineString"", ""coordinates"": [[-1.686635636159595, 48.11830034107453], [-1.685172646202237, 48.1199501547945]]}";6741;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1191646169, -1.68515461684;"{""type"": ""LineString"", ""coordinates"": [[-1.684567728201367, 48.119609552220346], [-1.685321065515635, 48.11906008073153], [-1.685711278253954, 48.118683704375364]]}";6743;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1118733545, -1.68707914663;"{""type"": ""LineString"", ""coordinates"": [[-1.687131525201075, 48.111992141715355], [-1.687026768065057, 48.11175456722066]]}";6651;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1140395133, -1.68845352873;"{""type"": ""LineString"", ""coordinates"": [[-1.688572056212679, 48.113983308528425], [-1.688478725436708, 48.11403441541783], [-1.688330773392176, 48.11408622285703]]}";6672;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1126124301, -1.68972050769;"{""type"": ""LineString"", ""coordinates"": [[-1.689854478744018, 48.11257606788144], [-1.689586536628728, 48.11264879240877]]}";6669;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1129393369, -1.69144497327;"{""type"": ""LineString"", ""coordinates"": [[-1.691842444726132, 48.1126292413693], [-1.691292591239705, 48.113046868469326], [-1.691224512597526, 48.113099998572764], [-1.691076833528672, 48.11327996968104]]}";6674;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.113150818, -1.69350322472;"{""type"": ""LineString"", ""coordinates"": [[-1.693523462188792, 48.11302582688503], [-1.693482987251536, 48.11327580914436]]}";6679;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1144731611, -1.69271785905;"{""type"": ""LineString"", ""coordinates"": [[-1.692564118850701, 48.11465223631969], [-1.69287159925261, 48.114294085873404]]}";6680;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1152292044, -1.69047418396;"{""type"": ""LineString"", ""coordinates"": [[-1.691287964661654, 48.11555839625112], [-1.689660403264244, 48.11490001263504]]}";6682;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1152712104, -1.68865854409;"{""type"": ""LineString"", ""coordinates"": [[-1.688825434095591, 48.11533993414862], [-1.688491654085543, 48.11520248655862]]}";6685;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1175157883, -1.68948459158;"{""type"": ""LineString"", ""coordinates"": [[-1.689700222298038, 48.1176004519648], [-1.689268960870324, 48.11743112469419]]}";6701;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1165054058, -1.68710439185;"{""type"": ""LineString"", ""coordinates"": [[-1.687540391469278, 48.11583901398707], [-1.686890529478707, 48.11682105555278], [-1.686688537166115, 48.11718404329329]]}";6705;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1160213391, -1.67387566754;"{""type"": ""LineString"", ""coordinates"": [[-1.674031747440136, 48.11602758321532], [-1.673719587635904, 48.11601509505034]]}";6619;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1160661868, -1.67385623471;"{""type"": ""LineString"", ""coordinates"": [[-1.674023911134399, 48.116073103961476], [-1.673688558287423, 48.11605926969103]]}";6618;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1159511977, -1.67163799911;"{""type"": ""LineString"", ""coordinates"": [[-1.672207883402135, 48.1159695287991], [-1.671068114820224, 48.11593286664101]]}";6621;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.110899054, -1.68648763457;"{""type"": ""LineString"", ""coordinates"": [[-1.686333225101351, 48.11059140737076], [-1.686642044034223, 48.111206700540336]]}";6538;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1011885881, -1.67753753775;"{""type"": ""LineString"", ""coordinates"": [[-1.677538557880028, 48.10154520833375], [-1.677536517611991, 48.10083196780684]]}";6630;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.100730819, -1.67720985827;"{""type"": ""LineString"", ""coordinates"": [[-1.677982740109657, 48.10063452602303], [-1.676436976423766, 48.100827112040776]]}";6631;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1016613741, -1.67904151968;"{""type"": ""LineString"", ""coordinates"": [[-1.679335138956498, 48.10165795832449], [-1.678747900410469, 48.101664789831155]]}";6624;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1008699369, -1.67860945642;"{""type"": ""LineString"", ""coordinates"": [[-1.678878364890079, 48.10151938951539], [-1.678340547945079, 48.10022048435998]]}";6634;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.0961300323, -1.67476110494;"{""type"": ""LineString"", ""coordinates"": [[-1.674662596698264, 48.09559284777769], [-1.674859613176735, 48.096667216914035]]}";6644;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.0969770512, -1.67494997548;"{""type"": ""LineString"", ""coordinates"": [[-1.674921323651645, 48.096876892394235], [-1.674978627298367, 48.09707721009711]]}";6645;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1061119453, -1.69165094591;"{""type"": ""LineString"", ""coordinates"": [[-1.692012487819236, 48.10613076869303], [-1.691289403995065, 48.10609312196486]]}";4903;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1064341386, -1.69212351337;"{""type"": ""LineString"", ""coordinates"": [[-1.692147032209292, 48.10624984110515], [-1.692099994523994, 48.10661843600035]]}";4570;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1064569151, -1.68907602934;"{""type"": ""LineString"", ""coordinates"": [[-1.689082589711404, 48.10631101034093], [-1.689069468960526, 48.10660281982443]]}";4890;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1085968634, -1.68793664642;"{""type"": ""LineString"", ""coordinates"": [[-1.688073633971797, 48.10855252283883], [-1.687799658862848, 48.10864120398367]]}";4559;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
