ap_timeo;ap_datemaj;equip_mobilier;equip_banc;equip_eclairage;equip_poubelle;access_pmr;access_li_ok;access_li_nok;Commune (nom);Coordonnées;Commune (code INSEE);Identifiant
3404;2014-08-12Z;Abri simple;OUI;OUI;OUI;OUI;75;;Nouvoitou;48.041308, -1.544619;35204;3404
3509;2012-03-20Z;Poteau;NON;NON;NON;OUI;52;;Montgermont;48.153005, -1.708878;35189;3509
3511;2012-03-20Z;Poteau;NON;NON;NON;OUI;52;;Montgermont;48.157373, -1.714588;35189;3511
3516;2012-03-20Z;Poteau;NON;NON;NON;OUI;68;;Montgermont;48.154387, -1.707216;35189;3516
3708;2012-03-27Z;Abri simple;OUI;NON;OUI;OUI;152 52;;Saint-Gilles;48.152801, -1.820678;35275;3708
3709;2012-03-27Z;Abri simple;OUI;OUI;OUI;NON;;52;Saint-Gilles;48.152952, -1.809229;35275;3709
3711;2012-03-27Z;Poteau;NON;NON;NON;OUI;152 52;;Saint-Gilles;48.154152, -1.819988;35275;3711
3715;2011-08-25Z;Abri double;OUI;OUI;OUI;OUI;52 152;;Saint-Gilles;48.153745, -1.834034;35275;3715
3724;2011-08-25Z;Poteau;NON;NON;NON;OUI;52 152;;Saint-Gilles;48.153843, -1.834042;35275;3724
3765;2012-03-20Z;Poteau;NON;NON;NON;NON;;53;Vezin-le-Coquet;48.121023, -1.771757;35353;3765
3770;2015-05-11Z;Abri simple;OUI;OUI;OUI;OUI;153 53;;Vezin-le-Coquet;48.119011, -1.749601;35353;3770
3771;2015-05-11Z;Poteau;NON;NON;NON;OUI;53 153 76;;Vezin-le-Coquet;48.11916, -1.749864;35353;3771
3772;2015-04-07Z;Poteau;NON;NON;NON;OUI;11;;Vezin-le-Coquet;48.107281, -1.738871;35353;3772
3801;2014-08-12Z;Abri double;OUI;OUI;OUI;OUI;74 161;;Bourgbarré;47.990142, -1.613855;35032;3801
3804;2014-08-12Z;Abri simple;OUI;NON;OUI;NON;;74;Bourgbarré;47.995183, -1.624234;35032;3804
3805;2014-08-12Z;Abri simple;OUI;NON;OUI;NON;;74;Bourgbarré;47.994576, -1.631502;35032;3805
3806;2014-08-12Z;Poteau;NON;NON;NON;NON;;74;Bourgbarré;47.994399, -1.631365;35032;3806
3807;2014-08-12Z;Poteau;NON;NON;NON;NON;;74;Bourgbarré;47.995094, -1.623735;35032;3807
3808;2015-05-12Z;Poteau;NON;NON;NON;OUI;74;;Bourgbarré;47.995943, -1.617465;35032;3808
3810;2014-08-12Z;Abri simple;OUI;NON;NON;NON;;74;Bourgbarré;47.960038, -1.632394;35032;3810
3833;2017-04-04Z;Poteau;NON;NON;NON;;;;Bourgbarré;47.994388, -1.615739;35032;3833
3835;2017-11-21Z;Poteau;NON;NON;NON;OUI;73;;Bourgbarré;48.006865, -1.597149;35032;3835
3837;2018-03-19Z;Poteau;NON;NON;NON;OUI;161;;Bourgbarré;47.996445, -1.622006;35032;3837
3851;2011-08-25Z;Abri double;OUI;OUI;OUI;OUI;76 155 55;;Mordelles;48.074582, -1.853723;35196;3851
3859;2011-08-25Z;Abri simple;OUI;OUI;OUI;NON;;55;Mordelles;48.088106, -1.799966;35196;3859
3863;2011-08-25Z;Abri simple;OUI;NON;OUI;OUI;155 76 55;;Mordelles;48.075604, -1.842827;35196;3863
3865;2014-08-12Z;Poteau;NON;NON;NON;OUI;55 155 76;;Mordelles;48.071883, -1.85024;35196;3865
3903;2014-08-12Z;Abri double;OUI;OUI;OUI;OUI;72 79 172;;Pont-Péan;48.010649, -1.700885;35363;3903
3907;2014-08-12Z;Abri double;OUI;OUI;OUI;OUI;72 172 79;;Pont-Péan;48.016278, -1.705639;35363;3907
3913;2014-08-12Z;Abri simple;OUI;OUI;OUI;OUI;172 72 79;;Pont-Péan;48.013, -1.703093;35363;3913
3924;2015-02-10Z;Poteau;NON;NON;NON;NON;;79;Pont-Péan;48.000008, -1.696769;35363;3924
3956;2017-04-24Z;Abri simple;OUI;OUI;OUI;OUI;70;;Saint-Sulpice-la-Forêt;48.197922, -1.599137;35315;3956
4001;2012-03-20Z;Abri bâti;OUI;OUI;OUI;OUI;64 164;;Acigné;48.137043, -1.526335;35001;4001
4008;2015-02-10Z;Poteau;NON;NON;NON;OUI;64;;Thorigné-Fouillard;48.139504, -1.561471;35334;4008
4013;2012-03-20Z;Abri simple;OUI;NON;OUI;OUI;164 64;;Acigné;48.137246, -1.532829;35001;4013
4018;2013-08-05Z;Abri simple;OUI;OUI;OUI;OUI;64 164;;Acigné;48.134021, -1.540447;35001;4018
4056;2013-08-05Z;Abri simple;OUI;OUI;OUI;OUI;52;;La Chapelle-des-Fougeretz;48.17016, -1.736188;35059;4056
4057;2013-08-05Z;Poteau;NON;NON;NON;OUI;52;;La Chapelle-des-Fougeretz;48.170401, -1.736205;35059;4057
4059;2012-03-09Z;Poteau;NON;NON;NON;OUI;52;;La Chapelle-des-Fougeretz;48.17669, -1.732757;35059;4059
4066;2012-01-19Z;Abri simple;OUI;NON;NON;NON;;52;La Chapelle-des-Fougeretz;48.168594, -1.742983;35059;4066
4157;2012-03-20Z;Poteau;NON;NON;NON;OUI;67;;Brécé;48.109265, -1.503198;35039;4157
4162;2013-08-05Z;Poteau;NON;NON;NON;OUI;67;;Brécé;48.108409, -1.507807;35039;4162
4209;2014-08-12Z;Poteau;NON;NON;NON;OUI;56 156;;Chavagne;48.054115, -1.783746;35076;4209
4210;2015-02-10Z;Abri simple;OUI;OUI;OUI;OUI;56 156;;Chavagne;48.054885, -1.790003;35076;4210
4269;2012-03-09Z;Abri double;OUI;OUI;OUI;OUI;153 53;;La Chapelle-Thouarault;48.123099, -1.866053;35065;4269
4305;2012-03-20Z;Abri double;OUI;OUI;OUI;OUI;153 53;;L'Hermitage;48.124609, -1.811557;35131;4305
4308;2012-03-20Z;Poteau;NON;NON;NON;OUI;53 153;;L'Hermitage;48.125058, -1.813014;35131;4308
4354;2014-08-12Z;Poteau;NON;NON;NON;OUI;61;;Saint-Erblon;48.017653, -1.654401;35266;4354
4356;2012-03-08Z;Abri simple;OUI;OUI;OUI;OUI;74;;Saint-Erblon;48.017076, -1.664587;35266;4356
4362;2011-08-25Z;Poteau;NON;NON;NON;OUI;61;;Saint-Erblon;48.016196, -1.651517;35266;4362
4408;2017-07-31Z;Poteau;NON;NON;NON;NON;;55;Le Verger;48.07003, -1.93229;35351;4408
4452;2012-03-09Z;Abri simple;OUI;NON;NON;OUI;81;;Clayes;48.181419, -1.853554;35081;4452
4453;2012-03-09Z;Abri bâti;NON;NON;OUI;OUI;81;;Clayes;48.176019, -1.85261;35081;4453
4458;2013-10-29Z;Poteau;NON;NON;NON;OUI;81;;Clayes;48.182349, -1.853067;35081;4458
4551;2011-08-25Z;Abri simple;OUI;NON;OUI;OUI;73 173;;Saint-Armel;48.013468, -1.590988;35250;4551
4552;2018-02-05Z;Poteau;NON;NON;NON;OUI;73 173;;Saint-Armel;48.013905, -1.594035;35250;4552
4554;2014-08-12Z;Poteau;NON;NON;NON;OUI;73;;Saint-Armel;48.014788, -1.598383;35250;4554
4603;2015-01-23Z;Poteau;NON;NON;NON;OUI;71 94;;Chevaigné;48.210932, -1.626041;35079;4603
4606;2011-12-15Z;Abri double;OUI;OUI;OUI;OUI;71 94;;Chevaigné;48.211961, -1.630307;35079;4606
4654;2012-03-20Z;Poteau;NON;NON;NON;OUI;54 154;;Cintré;48.103469, -1.869393;35080;4654
4803;2013-10-23Z;Poteau;NON;NON;NON;NON;;82;Bécherel;48.2997, -1.939289;35022;4803
4950;2013-10-29Z;Abri simple;OUI;OUI;OUI;OUI;82;;Miniac-sous-Bécherel;48.284693, -1.930733;35180;4950
3114;2012-01-13Z;Poteau;NON;NON;NON;NON;;77 65;Pacé;48.146022, -1.770492;35210;3114
3137;2012-03-27Z;Poteau;NON;NON;NON;OUI;77;;Pacé;48.140206, -1.763554;35210;3137
3144;2012-03-27Z;Abri simple;OUI;OUI;OUI;OUI;77;;Pacé;48.141054, -1.766273;35210;3144
3146;2012-01-13Z;Poteau;NON;NON;NON;NON;;65;Pacé;48.18012, -1.801817;35210;3146
3213;2015-02-10Z;Abri simple;OUI;NON;OUI;OUI;74;;Orgères;48.009507, -1.66592;35208;3213
3216;2015-02-10Z;Poteau;NON;NON;NON;OUI;74;;Orgères;48.009532, -1.666195;35208;3216
3217;2014-08-12Z;Abri simple;OUI;OUI;OUI;OUI;74;;Orgères;48.000471, -1.667155;35208;3217
3225;2011-08-25Z;Abri simple;;OUI;NON;;;;Orgères;47.962608, -1.684894;35208;3225
3258;2017-03-03Z;Poteau;NON;NON;NON;OUI;74;;Orgères;48.00539, -1.665581;35208;3258
3260;2017-03-03Z;Abri simple;OUI;OUI;OUI;OUI;74;;Orgères;47.992951, -1.662898;35208;3260
3307;2011-08-25Z;Abri simple;OUI;OUI;OUI;OUI;50 150;;Thorigné-Fouillard;48.160412, -1.586021;35334;3307
3309;2011-08-25Z;Abri simple;OUI;NON;OUI;NON;;50 150;Thorigné-Fouillard;48.156271, -1.592376;35334;3309
3311;2011-08-25Z;Abri simple;OUI;NON;OUI;OUI;50 150;;Thorigné-Fouillard;48.160618, -1.585461;35334;3311
3312;2011-08-25Z;Abri simple;OUI;OUI;OUI;OUI;50 150;;Thorigné-Fouillard;48.162934, -1.579182;35334;3312
3318;2012-03-20Z;Poteau;NON;NON;NON;NON;;64;Thorigné-Fouillard;48.140911, -1.573502;35334;3318
3320;2012-03-20Z;Poteau;NON;NON;NON;;;;Thorigné-Fouillard;48.141857, -1.577397;35334;3320
3406;2014-08-12Z;Poteau;NON;NON;NON;NON;;75;Nouvoitou;48.044378, -1.56147;35204;3406
3407;2015-02-10Z;Poteau;NON;NON;NON;NON;;75;Nouvoitou;48.042359, -1.549754;35204;3407
3410;2016-07-26Z;Abri simple;OUI;OUI;OUI;OUI;75;;Nouvoitou;48.040076, -1.550197;35204;3410
3418;2017-03-07Z;;;;;;;;Nouvoitou;48.021901, -1.547245;35204;3418
3420;2017-08-01Z;Poteau;NON;NON;NON;OUI;75;;Nouvoitou;48.038503, -1.547582;35204;3420
3427;2018-06-04Z;Abri simple;OUI;OUI;OUI;OUI;75;;Nouvoitou;48.039904, -1.540907;35204;3427
3501;2017-01-30Z;Poteau;NON;NON;NON;NON;;52;Montgermont;48.157221, -1.723306;35189;3501
3504;2012-03-20Z;Abri simple;OUI;OUI;OUI;OUI;52;;Montgermont;48.157226, -1.714447;35189;3504
3506;2011-08-25Z;Abri simple;OUI;OUI;OUI;OUI;68 52;;Montgermont;48.152987, -1.706581;35189;3506
3514;2017-01-30Z;Abri simple;OUI;NON;OUI;OUI;52;;Montgermont;48.157089, -1.723308;35189;3514
3604;2012-03-20Z;Abri simple;OUI;OUI;OUI;OUI;65;;Parthenay-de-Bretagne;48.191281, -1.824629;35216;3604
3605;2012-03-20Z;Abri simple;OUI;NON;OUI;NON;;65;Parthenay-de-Bretagne;48.189982, -1.820845;35216;3605
3611;2012-03-20Z;Poteau;NON;NON;NON;OUI;65;;Parthenay-de-Bretagne;48.186413, -1.816451;35216;3611
3707;2012-03-27Z;Abri simple;OUI;OUI;OUI;OUI;152 52;;Saint-Gilles;48.150683, -1.825279;35275;3707
3710;2012-03-27Z;Poteau;NON;NON;NON;NON;;52;Saint-Gilles;48.153626, -1.810538;35275;3710
3717;2011-08-25Z;Abri simple;OUI;OUI;OUI;OUI;52 152;;Saint-Gilles;48.153985, -1.8376;35275;3717
3723;2011-08-25Z;Poteau;NON;NON;NON;OUI;52 152;;Saint-Gilles;48.15406, -1.837815;35275;3723
3753;2011-08-25Z;Poteau;NON;NON;NON;OUI;11;;Vezin-le-Coquet;48.10575, -1.740014;35353;3753
3759;2012-03-20Z;Abri simple;OUI;OUI;OUI;NON;;53;Vezin-le-Coquet;48.117611, -1.731377;35353;3759
3760;2012-03-20Z;Poteau;NON;NON;NON;NON;;53;Vezin-le-Coquet;48.117765, -1.731221;35353;3760
3762;2013-08-05Z;Abri simple;OUI;OUI;OUI;OUI;153 53 76;;Vezin-le-Coquet;48.11923, -1.755499;35353;3762
3766;2012-03-20Z;Abri simple;OUI;OUI;OUI;OUI;55 56 54;;Vezin-le-Coquet;48.104998, -1.740624;35353;3766
3803;2015-05-12Z;Abri simple;OUI;OUI;OUI;OUI;74;;Bourgbarré;47.996045, -1.617451;35032;3803
3811;2015-05-12Z;Poteau;NON;NON;NON;NON;;74;Bourgbarré;47.959332, -1.637267;35032;3811
3836;2018-03-19Z;Abri simple;OUI;OUI;OUI;NON;;161;Bourgbarré;47.99661, -1.621934;35032;3836
