ap_timeo;ap_datemaj;equip_mobilier;equip_banc;equip_eclairage;equip_poubelle;access_pmr;access_li_ok;access_li_nok;Commune (nom);Coordonnées;Commune (code INSEE);Identifiant
3111;2012-01-13Z;Abri simple;OUI;OUI;OUI;OUI;77 65;;Pacé;48.142756, -1.770101;35210;3111
3115;2011-12-15Z;Poteau;NON;NON;NON;OUI;65;;Pacé;48.148099, -1.769731;35210;3115
3117;2012-01-13Z;Poteau;NON;NON;NON;OUI;65;;Pacé;48.151275, -1.777656;35210;3117
3126;2012-01-13Z;Abri simple;OUI;OUI;OUI;OUI;77;;Pacé;48.15725, -1.765795;35210;3126
3139;2012-03-27Z;Abri simple;OUI;OUI;OUI;OUI;77;;Pacé;48.140153, -1.763318;35210;3139
3145;2012-01-13Z;Poteau;NON;NON;NON;NON;;65;Pacé;48.179959, -1.801675;35210;3145
3170;2016-03-11Z;Abri simple;OUI;OUI;OUI;OUI;77;;Pacé;48.152501, -1.763749;35210;3170
3176;2016-03-11Z;Abri simple;OUI;OUI;OUI;OUI;77;;Pacé;48.147787, -1.768493;35210;3176
3205;2014-08-12Z;Poteau;NON;NON;NON;NON;;74;Orgères;47.976081, -1.657175;35208;3205
3209;2015-05-12Z;Abri simple;OUI;OUI;OUI;OUI;74;;Orgères;47.992563, -1.668787;35208;3209
3245;2012-01-02Z;Abri simple;;NON;NON;;;;Orgères;47.964349, -1.681718;35208;3245
3249;2012-03-08Z;Abri simple;OUI;OUI;OUI;OUI;74;;Orgères;48.014928, -1.663969;35208;3249
3251;2013-09-04Z;Poteau;NON;NON;NON;;;;Orgères;47.964046, -1.681099;35208;3251
3316;2015-06-18Z;Abri simple;OUI;OUI;OUI;OUI;64;;Thorigné-Fouillard;48.13216, -1.596367;35334;3316
3317;2012-03-20Z;Abri simple;OUI;NON;OUI;NON;;64;Thorigné-Fouillard;48.141094, -1.573652;35334;3317
3323;2017-12-29Z;Poteau;NON;NON;NON;OUI;50 150;;Thorigné-Fouillard;48.149294, -1.576829;35334;3323
3500;2012-03-20Z;Poteau;NON;NON;NON;NON;;52;Montgermont;48.163969, -1.731752;35189;3500
3502;2012-03-20Z;Abri simple;OUI;NON;OUI;OUI;52;;Montgermont;48.155655, -1.720614;35189;3502
3505;2012-03-20Z;Abri simple;OUI;OUI;OUI;OUI;52;;Montgermont;48.155304, -1.710895;35189;3505
3606;2012-03-20Z;Poteau;NON;NON;NON;OUI;65;;Parthenay-de-Bretagne;48.186405, -1.816641;35216;3606
3613;2012-03-20Z;Poteau;NON;NON;NON;OUI;65;;Parthenay-de-Bretagne;48.191297, -1.8243;35216;3613
3617;2014-08-19Z;Abri simple;OUI;OUI;OUI;OUI;65;;Parthenay-de-Bretagne;48.193762, -1.832214;35216;3617
3712;2012-03-27Z;Poteau;NON;NON;NON;OUI;52 152;;Saint-Gilles;48.150714, -1.824791;35275;3712
3732;2013-07-25Z;Abri simple;OUI;OUI;OUI;OUI;52 152;;Saint-Gilles;48.14933, -1.839024;35275;3732
3736;2017-07-31Z;Poteau;NON;NON;NON;;;;Saint-Gilles;48.137895, -1.86961;35275;3736
3751;2012-03-20Z;Abri simple;OUI;OUI;OUI;OUI;11;;Vezin-le-Coquet;48.107431, -1.739281;35353;3751
3754;2012-03-20Z;Abri simple;OUI;NON;OUI;NON;;53;Vezin-le-Coquet;48.12091, -1.772466;35353;3754
3756;2012-03-20Z;Abri simple;OUI;OUI;OUI;OUI;53 153 76;;Vezin-le-Coquet;48.119004, -1.760926;35353;3756
3767;2012-01-31Z;Abri double;OUI;OUI;NON;;;;Vezin-le-Coquet;48.122951, -1.755366;35353;3767
3768;2012-03-20Z;Poteau;NON;NON;NON;OUI;11;;Vezin-le-Coquet;48.104219, -1.735894;35353;3768
3769;2012-03-20Z;Abri simple;OUI;NON;OUI;OUI;11;;Vezin-le-Coquet;48.104169, -1.736036;35353;3769
3852;2011-08-25Z;Abri double;OUI;OUI;OUI;OUI;55 155 76;;Mordelles;48.071956, -1.849829;35196;3852
3854;2011-08-25Z;Abri simple;OUI;OUI;OUI;OUI;155 55 76;;Mordelles;48.075808, -1.842153;35196;3854
3858;2011-08-25Z;Abri simple;OUI;OUI;OUI;NON;;55;Mordelles;48.08823, -1.798671;35196;3858
3862;2011-08-25Z;Abri simple;OUI;NON;OUI;OUI;155 76 55;;Mordelles;48.077836, -1.837377;35196;3862
3901;2011-08-25Z;Abri simple;OUI;OUI;OUI;OUI;72 79;;Pont-Péan;47.999909, -1.696968;35363;3901
3953;2011-12-15Z;Abri simple;OUI;OUI;OUI;OUI;70 94;;Saint-Sulpice-la-Forêt;48.217907, -1.581457;35315;3953
3962;2011-12-15Z;Abri simple;OUI;OUI;NON;OUI;94 70;;Saint-Sulpice-la-Forêt;48.223126, -1.576679;35315;3962
4006;2011-08-25Z;Abri simple;OUI;OUI;OUI;OUI;64;;Acigné;48.137273, -1.549814;35001;4006
4007;2011-08-25Z;Abri simple;OUI;OUI;OUI;OUI;64;;Acigné;48.139094, -1.558744;35001;4007
4011;2012-03-20Z;Poteau;NON;NON;NON;NON;;164 64;Acigné;48.13387, -1.537546;35001;4011
4053;2012-03-09Z;Abri double;OUI;OUI;OUI;OUI;52;;La Chapelle-des-Fougeretz;48.17951, -1.729201;35059;4053
4055;2011-08-25Z;Abri double;OUI;OUI;OUI;OUI;52;;La Chapelle-des-Fougeretz;48.174111, -1.735204;35059;4055
4058;2012-03-09Z;Poteau;NON;NON;NON;OUI;52;;La Chapelle-des-Fougeretz;48.173991, -1.735178;35059;4058
4067;2012-03-09Z;Poteau;NON;NON;NON;NON;;52;La Chapelle-des-Fougeretz;48.168976, -1.74251;35059;4067
4105;2014-08-12Z;Abri simple;OUI;OUI;OUI;OUI;73 173;;Corps-Nuds;47.982053, -1.588248;35088;4105
4108;2014-08-12Z;Poteau;NON;NON;NON;NON;;73 173;Corps-Nuds;47.981897, -1.588461;35088;4108
4153;2012-03-20Z;Abri simple;OUI;OUI;OUI;OUI;167 67;;Brécé;48.107127, -1.479136;35039;4153
4155;2012-03-20Z;Abri simple;OUI;NON;OUI;OUI;167 67;;Brécé;48.107643, -1.486165;35039;4155
4204;2011-08-25Z;Abri double;OUI;OUI;OUI;OUI;56 156;;Chavagne;48.053984, -1.783762;35076;4204
4211;2014-08-12Z;Poteau;NON;NON;NON;OUI;156 56;;Chavagne;48.052438, -1.790592;35076;4211
4254;2012-03-20Z;Abri simple;OUI;NON;OUI;OUI;53;;La Chapelle-Thouarault;48.121285, -1.837645;35065;4254
4256;2012-03-09Z;Poteau;NON;NON;NON;NON;;53;La Chapelle-Thouarault;48.122037, -1.846175;35065;4256
4264;2012-03-09Z;Poteau;NON;NON;NON;OUI;53 153;;La Chapelle-Thouarault;48.123069, -1.865899;35065;4264
4301;2011-08-25Z;Abri simple;OUI;NON;OUI;NON;;53;L'Hermitage;48.122924, -1.821633;35131;4301
4303;2012-03-20Z;Abri simple;OUI;NON;OUI;OUI;53 153;;L'Hermitage;48.123875, -1.817721;35131;4303
4316;2012-03-20Z;Abri simple;OUI;OUI;OUI;OUI;53;;L'Hermitage;48.122778, -1.801123;35131;4316
4353;2014-08-12Z;Abri simple;OUI;OUI;OUI;OUI;61;;Saint-Erblon;48.017654, -1.654585;35266;4353
4355;2015-05-12Z;Abri simple;OUI;OUI;OUI;OUI;61;;Saint-Erblon;48.01883, -1.657816;35266;4355
4457;2013-10-30Z;Poteau;NON;NON;NON;OUI;81;;Clayes;48.176249, -1.852479;35081;4457
4507;2011-08-25Z;Abri simple;OUI;OUI;OUI;OUI;68 168;;Gévezé;48.221783, -1.802327;35120;4507
4508;2011-08-25Z;Abri simple;OUI;OUI;OUI;OUI;68 168;;Gévezé;48.224482, -1.800785;35120;4508
4553;2014-08-12Z;Poteau;NON;NON;NON;OUI;73;;Saint-Armel;48.01463, -1.598304;35250;4553
4601;2011-12-15Z;Poteau;NON;NON;NON;OUI;71 94;;Chevaigné;48.211782, -1.630337;35079;4601
4605;2011-12-15Z;Abri simple;OUI;OUI;OUI;OUI;71 94;;Chevaigné;48.214395, -1.628958;35079;4605
4652;2012-03-20Z;Abri bâti;NON;OUI;NON;OUI;154 54;;Cintré;48.105043, -1.872646;35080;4652
4701;2012-03-08Z;Abri simple;OUI;OUI;OUI;OUI;72 79;;Laillé;47.978606, -1.712988;35139;4701
4702;2012-03-08Z;Abri simple;OUI;OUI;OUI;OUI;79 72;;Laillé;47.975433, -1.717111;35139;4702
4706;2012-03-08Z;Abri double;OUI;NON;OUI;OUI;79 72;;Laillé;47.97919, -1.724314;35139;4706
4707;2012-03-08Z;Poteau;NON;NON;NON;OUI;79 72;;Laillé;47.979287, -1.724331;35139;4707
4708;2012-03-08Z;Abri simple;OUI;OUI;OUI;OUI;72 79;;Laillé;47.980092, -1.730909;35139;4708
4711;2012-03-08Z;Abri simple;NON;NON;NON;;;;Laillé;47.975394, -1.691403;35139;4711
4712;2012-03-08Z;Poteau;NON;NON;NON;;;;Laillé;47.974816, -1.69136;35139;4712
4901;2015-02-10Z;Abri simple;OUI;OUI;OUI;OUI;82;;Langan;48.24538, -1.854062;35144;4901
5008;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5011;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5024;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5029;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
6005;2013-10-29Z;Poteau;NON;NON;NON;OUI;81 82;;Romillé;48.212494, -1.890895;35245;6005
3024;2014-08-12Z;Abri simple;OUI;NON;OUI;NON;;62;Vern-sur-Seiche;48.07696, -1.631808;35352;3024
3034;2014-09-01Z;Poteau;NON;NON;NON;OUI;34;;Chantepie;48.098553, -1.621354;35055;3034
3041;2016-07-08Z;Poteau;NON;NON;NON;;;;Chantepie;48.069407, -1.569763;35055;3041
3105;2012-01-13Z;Poteau;NON;NON;NON;OUI;52;;Pacé;48.14765, -1.780916;35210;3105
3108;2016-12-27Z;Abri simple;OUI;NON;OUI;OUI;65;;Pacé;48.150859, -1.771989;35210;3108
3109;2011-12-15Z;Abri simple;OUI;OUI;OUI;OUI;65;;Pacé;48.148142, -1.769909;35210;3109
3110;2012-01-13Z;Abri simple;OUI;OUI;OUI;OUI;77 65;;Pacé;48.145758, -1.770753;35210;3110
3112;2012-03-27Z;Poteau;NON;NON;NON;OUI;77;;Pacé;48.141059, -1.767294;35210;3112
3119;2012-01-13Z;Abri simple;OUI;OUI;OUI;OUI;52;;Pacé;48.147515, -1.781103;35210;3119
3120;2012-01-13Z;Poteau;NON;NON;NON;OUI;52;;Pacé;48.1486, -1.785006;35210;3120
3122;2016-12-27Z;Poteau;NON;NON;NON;OUI;52;;Pacé;48.151102, -1.79217;35210;3122
3136;2012-01-13Z;Abri simple;OUI;OUI;OUI;OUI;65;;Pacé;48.15469, -1.784414;35210;3136
3141;2012-01-13Z;Poteau;NON;NON;NON;OUI;65;;Pacé;48.154821, -1.784386;35210;3141
3142;2012-01-13Z;Poteau;NON;NON;NON;NON;;65;Pacé;48.167342, -1.787109;35210;3142
3143;2012-01-13Z;Poteau;NON;NON;NON;NON;;65;Pacé;48.169948, -1.787892;35210;3143
3167;2016-05-12Z;Poteau;NON;NON;NON;OUI;77;;Pacé;48.154567, -1.763809;35210;3167
3172;2016-03-11Z;Abri simple;OUI;OUI;OUI;OUI;77;;Pacé;48.151086, -1.75956;35210;3172
3174;2016-03-11Z;Abri simple;OUI;OUI;OUI;OUI;77;;Pacé;48.148297, -1.764208;35210;3174
3202;2014-08-12Z;Abri simple;OUI;NON;NON;NON;;74;Orgères;47.975399, -1.651256;35208;3202
3204;2016-12-27Z;Abri simple;OUI;NON;OUI;NON;;74;Orgères;47.983336, -1.660015;35208;3204
3207;2014-08-12Z;Poteau;NON;NON;NON;NON;;74;Orgères;47.969624, -1.645797;35208;3207
3210;2014-08-12Z;Abri simple;OUI;OUI;OUI;OUI;74;;Orgères;47.995, -1.670694;35208;3210
3218;2014-08-12Z;Poteau;NON;NON;NON;OUI;74;;Orgères;47.996919, -1.669051;35208;3218
3220;2014-08-12Z;Poteau;NON;NON;NON;OUI;74;;Orgères;47.992216, -1.6679;35208;3220
3259;2017-03-03Z;Poteau;NON;NON;NON;OUI;74;;Orgères;47.992652, -1.662984;35208;3259
3302;2015-02-10Z;Abri simple;OUI;OUI;OUI;OUI;150 50;;Thorigné-Fouillard;48.153039, -1.579445;35334;3302
3322;2017-12-29Z;Abri simple;OUI;OUI;OUI;OUI;150 50;;Thorigné-Fouillard;48.149322, -1.577703;35334;3322
3401;2014-08-12Z;Abri simple;OUI;OUI;OUI;OUI;75;;Nouvoitou;48.041337, -1.553405;35204;3401
3402;2016-07-26Z;Poteau;NON;NON;NON;OUI;75;;Nouvoitou;48.040949, -1.549602;35204;3402
3409;2015-05-12Z;Poteau;NON;NON;NON;OUI;75;;Nouvoitou;48.041368, -1.545167;35204;3409
3503;2012-03-20Z;Abri simple;OUI;OUI;OUI;OUI;52;;Montgermont;48.15574, -1.71654;35189;3503
3512;2012-03-20Z;Poteau;NON;NON;NON;OUI;52;;Montgermont;48.155644, -1.716708;35189;3512
3513;2012-03-20Z;Poteau;NON;NON;NON;OUI;52;;Montgermont;48.155723, -1.720748;35189;3513
3515;2012-03-20Z;Poteau;NON;NON;NON;NON;;52;Montgermont;48.162759, -1.730576;35189;3515
3602;2012-03-20Z;Abri double;OUI;OUI;OUI;OUI;65;;Parthenay-de-Bretagne;48.192003, -1.831209;35216;3602
3614;2012-03-20Z;Poteau;NON;NON;NON;OUI;65;;Parthenay-de-Bretagne;48.191822, -1.82784;35216;3614
3615;2012-03-20Z;Poteau;NON;NON;NON;OUI;65;;Parthenay-de-Bretagne;48.192104, -1.831432;35216;3615
3616;2012-03-20Z;Poteau;NON;NON;NON;;;;Parthenay-de-Bretagne;48.183379, -1.836087;35216;3616
3752;2012-03-20Z;Abri simple;OUI;NON;OUI;OUI;55 54 11 56;;Vezin-le-Coquet;48.104704, -1.739009;35353;3752
3755;2012-03-20Z;Abri simple;OUI;OUI;OUI;OUI;53;;Vezin-le-Coquet;48.120211, -1.765417;35353;3755
3758;2018-06-11Z;Poteau;NON;NON;NON;OUI;53;;Vezin-le-Coquet;48.11845, -1.743299;35353;3758
3761;2018-06-11Z;Poteau;NON;NON;NON;OUI;53;;Vezin-le-Coquet;48.118572, -1.743334;35353;3761
3764;2012-03-20Z;Poteau;NON;NON;NON;OUI;53;;Vezin-le-Coquet;48.120402, -1.765585;35353;3764
3812;2015-02-10Z;Poteau;NON;NON;NON;NON;;74;;;;
3815;2015-05-12Z;;;;;;;;;;;
3816;2014-08-12Z;Abri simple;OUI;OUI;OUI;OUI;73;;Saint-Armel;48.000758, -1.594361;35250;3816
3817;2014-08-12Z;Poteau;NON;NON;NON;OUI;73;;Bourgbarré;48.000912, -1.594744;35032;3817
3832;2017-04-04Z;Poteau;NON;NON;NON;;;;Bourgbarré;47.994784, -1.615558;35032;3832
3834;2017-11-21Z;Poteau;NON;NON;NON;OUI;73;;Saint-Armel;48.006898, -1.597024;35250;3834
3856;2011-08-25Z;Abri simple;OUI;OUI;OUI;NON;;55;Mordelles;48.081318, -1.826616;35196;3856
3857;2011-08-25Z;Abri simple;OUI;OUI;OUI;NON;;55;Mordelles;48.083954, -1.813568;35196;3857
3860;2014-08-12Z;Poteau;NON;NON;NON;NON;;55;Mordelles;48.083671, -1.81582;35196;3860
3902;2014-08-12Z;Abri simple;OUI;OUI;OUI;OUI;72;;Pont-Péan;48.006505, -1.69847;35363;3902
3905;2014-08-12Z;Abri simple;OUI;OUI;OUI;OUI;72 79 172;;Pont-Péan;48.010604, -1.707005;35363;3905
3908;2014-08-12Z;Abri simple;OUI;OUI;OUI;OUI;72 172;;Pont-Péan;48.019925, -1.706935;35363;3908
3951;2011-12-15Z;Abri simple;OUI;OUI;OUI;OUI;70 94;;Saint-Sulpice-la-Forêt;48.225212, -1.570409;35315;3951
3952;2011-12-15Z;Abri simple;OUI;NON;OUI;OUI;70 94;;Saint-Sulpice-la-Forêt;48.223261, -1.576352;35315;3952
3957;2011-12-15Z;Poteau;NON;NON;NON;NON;;70;Saint-Sulpice-la-Forêt;48.197535, -1.599247;35315;3957
3958;2011-12-15Z;Poteau;NON;NON;NON;NON;;70;Saint-Sulpice-la-Forêt;48.203176, -1.595;35315;3958
3961;2011-12-15Z;Poteau;NON;NON;NON;OUI;94 70;;Saint-Sulpice-la-Forêt;48.217752, -1.581363;35315;3961
3964;2011-12-15Z;Poteau;NON;NON;NON;NON;;70;Saint-Sulpice-la-Forêt;48.203759, -1.594768;35315;3964
4003;2012-03-20Z;Abri simple;OUI;OUI;OUI;OUI;64 164;;Acigné;48.134242, -1.534801;35001;4003
4004;2012-03-20Z;Abri simple;OUI;OUI;OUI;OUI;64 164;;Acigné;48.133958, -1.537791;35001;4004
4010;2013-08-05Z;Poteau;NON;NON;NON;OUI;64 164;;Acigné;48.134632, -1.542142;35001;4010
4019;2015-02-27Z;Abri simple;OUI;OUI;OUI;OUI;64 164;;Acigné;48.14065, -1.527479;35001;4019
4062;2011-08-25Z;Abri simple;OUI;NON;OUI;OUI;68;;La Chapelle-des-Fougeretz;48.176749, -1.722096;35059;4062
4069;2012-03-09Z;Abri simple;OUI;OUI;OUI;OUI;52;;La Chapelle-des-Fougeretz;48.183129, -1.726001;35059;4069
4111;2014-08-12Z;Poteau;NON;NON;NON;NON;;73 173;Corps-Nuds;47.982567, -1.580278;35088;4111
4152;2012-03-20Z;Abri simple;OUI;OUI;OUI;OUI;167 67;;Brécé;48.108998, -1.47848;35039;4152
4156;2011-08-25Z;Abri simple;OUI;OUI;OUI;NON;;67;Brécé;48.109445, -1.503174;35039;4156
4201;2011-08-25Z;Abri double;OUI;OUI;OUI;OUI;56 156;;Chavagne;48.051925, -1.797682;35076;4201
4206;2011-08-25Z;Abri simple;OUI;OUI;OUI;NON;;56;Chavagne;48.063257, -1.772312;35076;4206
4252;2012-03-20Z;Abri simple;OUI;OUI;OUI;OUI;153 53;;La Chapelle-Thouarault;48.123011, -1.860726;35065;4252
4255;2012-03-20Z;Poteau;NON;NON;NON;NON;;53;La Chapelle-Thouarault;48.12143, -1.83765;35065;4255
4267;2012-03-09Z;Abri simple;OUI;OUI;OUI;OUI;53 153;;La Chapelle-Thouarault;48.122595, -1.868366;35065;4267
4304;2014-08-19Z;Poteau;NON;NON;NON;OUI;53 153;;L'Hermitage;48.125578, -1.815962;35131;4304
4322;2014-08-19Z;Abri double;OUI;OUI;OUI;OUI;53 153;;L'Hermitage;48.125447, -1.815491;35131;4322
4357;2012-03-08Z;Poteau;NON;NON;NON;OUI;74;;Saint-Erblon;48.017063, -1.664746;35266;4357
4359;2014-08-12Z;Abri double;OUI;OUI;OUI;OUI;61 161;;Saint-Erblon;48.021537, -1.653502;35266;4359
4401;2017-07-31Z;Abri provisoire;OUI;NON;NON;NON;;55;Le Verger;48.069918, -1.932427;35351;4401
4459;2015-06-30Z;Abri simple;OUI;OUI;OUI;OUI;81;;Clayes;48.178132, -1.85278;35081;4459
4460;2015-06-30Z;Abri simple;OUI;OUI;OUI;OUI;81;;Clayes;48.178058, -1.852853;35081;4460
4555;2014-08-12Z;Abri simple;OUI;OUI;OUI;OUI;73 173;;Saint-Armel;48.014056, -1.594394;35250;4555
4602;2011-12-15Z;Poteau;NON;NON;NON;OUI;71 94;;Chevaigné;48.214316, -1.628818;35079;4602
4604;2011-12-15Z;Abri simple;OUI;OUI;OUI;OUI;71 94;;Chevaigné;48.209944, -1.625841;35079;4604
4607;2011-12-15Z;Abri double;OUI;OUI;OUI;OUI;94 71;;Chevaigné;48.207641, -1.630846;35079;4607
4653;2011-08-25Z;Abri double;OUI;OUI;OUI;OUI;54 154;;Cintré;48.103336, -1.869545;35080;4653
4710;2015-08-03Z;Poteau;NON;NON;NON;;;;Laillé;47.979836, -1.693264;35139;4710
4802;2013-10-23Z;Poteau;NON;NON;NON;NON;;82;Bécherel;48.29968, -1.93946;35022;4802
4851;2017-03-10Z;Poteau;NON;NON;NON;OUI;82;;La Chapelle-Chaussée;48.272026, -1.856733;35058;4851
4900;2015-02-10Z;Poteau;NON;NON;NON;OUI;82;;Langan;48.245235, -1.853734;35144;4900
5002;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5004;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5006;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5015;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5018;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5023;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5027;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
6001;2013-10-29Z;Poteau;NON;NON;NON;OUI;81;;Romillé;48.216915, -1.89045;35245;6001
6003;2013-10-29Z;Poteau;NON;NON;NON;OUI;82 81;;Romillé;48.214912, -1.892418;35245;6003
4504;2012-03-27Z;Abri simple;OUI;OUI;OUI;OUI;68 168;;Gévezé;48.21819, -1.78315;35120;4504
4510;2011-08-25Z;Abri simple;OUI;OUI;OUI;OUI;168 68;;Gévezé;48.223615, -1.79363;35120;4510
4700;2012-03-08Z;Abri double;OUI;OUI;OUI;OUI;72 79;;Laillé;47.978438, -1.713688;35139;4700
4703;2012-03-08Z;Abri simple;OUI;OUI;OUI;OUI;72 79;;Laillé;47.975507, -1.717175;35139;4703
4704;2012-03-08Z;Abri simple;OUI;OUI;OUI;OUI;79 72;;Laillé;47.978117, -1.72041;35139;4704
4760;2014-03-12Z;Poteau;NON;NON;NON;;;;Laillé;47.980213, -1.730942;35139;4760
4850;2013-10-23Z;Abri simple;OUI;OUI;OUI;OUI;82;;La Chapelle-Chaussée;48.271961, -1.856918;35058;4850
5001;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5003;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5020;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5022;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5026;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5028;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5031;2015-02-25Z;Abri simple;NON;NON;NON;;;;Rennes;48.121354, -1.693076;35238;5031
5032;2015-02-25Z;Poteau;NON;NON;NON;;;;Rennes;48.12146, -1.693584;35238;5032
6002;2013-10-29Z;Abri simple;OUI;OUI;OUI;OUI;81;;Romillé;48.216709, -1.890934;35245;6002
5007;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5009;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5010;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5014;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
5025;2010-10-10Z;Station métro;NON;NON;NON;NON;;a;;;;
6000;2014-08-19Z;Abri double;OUI;OUI;OUI;OUI;81;;Romillé;48.218676, -1.893365;35245;6000
6004;2013-10-29Z;Abri simple;OUI;OUI;OUI;OUI;81 82;;Romillé;48.215678, -1.89183;35245;6004
6006;2013-10-29Z;Abri provisoire;OUI;NON;NON;OUI;82 81;;Romillé;48.212334, -1.890901;35245;6006
