Geo Point;Geo Shape;objectid;id_voie;nom_voie;code_insee;nom_commune;nombre_support;code_modele;libelle_modele;date_creation;gestionnaire;commentaire
47.995828403, -1.66743223483;"{""type"": ""Point"", ""coordinates"": [-1.667432234833268, 47.99582840295635]}";1218;2373;Rue des Rosiers;35208;Orgères;5;;autre;;Rennes Métropole;face n°20 derrière Mairie
48.1188678403, -1.75718698077;"{""type"": ""Point"", ""coordinates"": [-1.75718698076765, 48.1188678403469]}";1225;5564;Rue de Montfort;35353;Vezin-le-Coquet;4;;S 23;2010-12-31T23:00:00Z;Rennes Métropole;face n°16
48.1181243181, -1.71288786771;"{""type"": ""Point"", ""coordinates"": [-1.712887867706669, 48.118124318068205]}";1226;10061;Rue Joseph Martray;35238;Rennes;6;;;2016-12-31T23:00:00Z;Rennes Métropole;n°9
48.1215060581, -1.70850273929;"{""type"": ""Point"", ""coordinates"": [-1.708502739294487, 48.12150605813451]}";1227;9478;Avenue Sir Winston Churchill;35238;Rennes;5;;S 23;2013-12-31T23:00:00Z;Rennes Métropole;angle n°20 Cours Président John Fitzgerald Kennedy
48.1169964491, -1.69354121753;"{""type"": ""Point"", ""coordinates"": [-1.693541217534633, 48.116996449116144]}";1228;9264;Rue Maréchal Lyautey;35238;Rennes;4;;;2016-12-31T23:00:00Z;Rennes Métropole;face n°16
48.1088180194, -1.68224444909;"{""type"": ""Point"", ""coordinates"": [-1.682244449092701, 48.108818019374574]}";623;8942;Rue du Champ Dolent;35238;Rennes;6;;S 23-1;2014-01-12T23:00:00Z;Rennes Métropole;face n°2 - pas de SV + 3 le 17/04/18
48.1178239184, -1.68426534304;"{""type"": ""Point"", ""coordinates"": [-1.68426534303534, 48.11782391841376]}";93;9283;Rue Jules Guesde;35238;Rennes;7;;S 23;2005-12-31T23:00:00Z;Rennes Métropole;n°8 - 1déposé
48.1144466271, -1.65774639608;"{""type"": ""Point"", ""coordinates"": [-1.657746396084391, 48.11444662708291]}";1230;8501;Rue Durafour;35238;Rennes;3;;S 23-1;2018-04-18T22:00:00Z;Rennes Métropole;rue de Paris angle - pas de SV
48.1538490291, -1.57974344949;"{""type"": ""Point"", ""coordinates"": [-1.579743449489671, 48.15384902906282]}";1646;7681;Rue de la Mare Pavée;35334;Thorigné-Fouillard;8;;SV 6;2007-12-31T23:00:00Z;Rennes Métropole;n°1 et 3
48.1174557422, -1.60884458284;"{""type"": ""Point"", ""coordinates"": [-1.608844582838666, 48.11745574217481]}";1235;7165;Place des Arcades;35051;Cesson-Sévigné;12;;SV 32;2013-12-31T23:00:00Z;Rennes Métropole;C.C Beausoleil
